topic_id,keybert_labels
19,"[('qatarworldcup2022', 0.5539), ('fifaworldcuponfox', 0.5004), ('fifaworldcup', 0.4883), ('qatar', 0.4811), ('fifa', 0.4548)]"
9,"[('fifaworldcup', 0.5111), ('fifa', 0.4723), ('worldcup', 0.4656), ('qatarworldcup2022', 0.4539), ('worldcupqatar2022', 0.4539)]"
30,"[('fifaworldcup', 0.5028), ('bbcworldcup', 0.4925), ('fifa', 0.4922), ('soccer', 0.4829), ('worldcup', 0.4662)]"
17,"[('jungkookworldcup', 0.5631), ('jungkookatfifaworldcup', 0.5068), ('jungkookworldcup2022', 0.4778), ('qatarworldcup', 0.4735), ('jungkookbts', 0.4704)]"
48,"[('bbc', 0.4825), ('lgbtq', 0.384), ('fifaworldcup', 0.3721), ('lgbt', 0.3566), ('worldcup2026', 0.3557)]"
46,"[('qatarworldcup2022', 0.5488), ('qatar', 0.5026), ('fifaworldcup', 0.4756), ('fifa', 0.4677), ('qatar2022', 0.4501)]"
43,"[('qatarworldcup', 0.4482), ('fifaworldcup', 0.435), ('qatarworldcup2022', 0.4019), ('worldcup', 0.3976), ('fifa', 0.3962)]"
31,"[('worldcuppredictioncat', 0.5147), ('bbcworldcup', 0.4677), ('fifaworldcup', 0.4402), ('soccer', 0.4392), ('fifa', 0.4341)]"
37,"[('qatarworldcup', 0.477), ('fifaworldcup', 0.4748), ('fifa', 0.4665), ('qatarworldcup2022', 0.4445), ('soccer', 0.4235)]"
29,"[('fifaworldcup', 0.4196), ('worldcup', 0.4102), ('worldcup2022', 0.3985), ('jungkookatfifaworldcup', 0.3844), ('qatar2022worldcup', 0.3781)]"
16,"[('qatarworldcup2022', 0.5342), ('qatar', 0.5022), ('qatarvsecuador', 0.4765), ('ecuador', 0.4681), ('fifaworldcup', 0.4655)]"
27,"[('fifaworldcup', 0.4827), ('qatarworldcup2022', 0.4799), ('worldcupday', 0.4577), ('worldcup', 0.4473), ('worldcupqatar2022', 0.415)]"
5,"[('qatarworldcup2022', 0.4813), ('fifaworldcup', 0.4766), ('worldcup2026', 0.4682), ('worldcup', 0.447), ('welshworldcup', 0.4363)]"
1,"[('worldcup2022', 0.3679), ('cameroon', 0.3518), ('كأس_العالم_fifa', 0.3478), ('sporting', 0.3334), ('word', 0.3171)]"
